Manhattan Distance,Straightline Distance,True Path Length
2,2.0,4
1,1.0,3
0,0.0,1
0,0.0,0
2,1.4142135623730951,9
2,1.4142135623730951,8
1,1.0,7
1,1.0,3
0,0.0,1
0,0.0,0
7,5.0,17
7,5.0,16
6,4.242640687119285,15
6,4.242640687119285,14
5,3.605551275463989,13
4,3.1622776601683795,10
3,3.0,9
3,3.0,8
2,2.0,7
1,1.0,4
0,0.0,1
0,0.0,0
1,1.0,2
0,0.0,1
0,0.0,0
2,2.0,4
1,1.0,3
0,0.0,1
0,0.0,0
1,1.0,2
0,0.0,1
0,0.0,0
6,4.47213595499958,22
5,3.605551275463989,21
4,2.8284271247461903,17
3,2.23606797749979,11
3,2.23606797749979,8
2,1.4142135623730951,6
2,1.4142135623730951,4
1,1.0,3
1,1.0,2
0,0.0,1
0,0.0,0
1,1.0,2
0,0.0,1
0,0.0,0
2,2.0,9
1,1.0,8
0,0.0,1
0,0.0,0
1,1.0,2
0,0.0,1
0,0.0,0
4,2.8284271247461903,11
4,2.8284271247461903,10
3,2.23606797749979,9
3,2.23606797749979,7
2,1.4142135623730951,6
1,1.0,3
1,1.0,2
0,0.0,1
0,0.0,0
8,5.830951894845301,33
7,5.0,32
7,5.0,26
6,4.47213595499958,23
5,4.123105625617661,20
5,4.123105625617661,18
4,3.1622776601683795,17
3,2.23606797749979,14
2,1.4142135623730951,10
1,1.0,7
1,1.0,3
0,0.0,1
0,0.0,0
3,2.23606797749979,8
2,2.0,5
2,2.0,3
1,1.0,2
0,0.0,1
0,0.0,0
2,2.0,10
1,1.0,9
0,0.0,1
0,0.0,0
6,5.0990195135927845,22
6,5.0990195135927845,21
5,5.0,20
5,5.0,15
4,4.0,12
3,3.0,9
2,2.0,8
1,1.0,5
0,0.0,1
0,0.0,0
7,5.0,29
6,4.242640687119285,28
5,3.605551275463989,19
4,3.1622776601683795,15
3,3.0,14
3,3.0,12
2,2.0,11
1,1.0,8
0,0.0,1
0,0.0,0
2,2.0,5
1,1.0,4
0,0.0,1
0,0.0,0
7,5.0,21
7,5.0,20
6,4.47213595499958,19
5,4.123105625617661,16
4,4.0,13
4,4.0,10
3,3.0,8
2,2.0,5
1,1.0,4
0,0.0,1
0,0.0,0
6,5.0990195135927845,18
5,4.123105625617661,17
5,4.123105625617661,15
4,4.0,14
4,4.0,10
3,3.0,8
2,2.0,5
1,1.0,4
0,0.0,1
0,0.0,0
1,1.0,3
1,1.0,2
0,0.0,1
0,0.0,0
2,2.0,6
2,2.0,5
1,1.0,4
0,0.0,1
0,0.0,0
2,2.0,6
2,2.0,5
1,1.0,4
0,0.0,1
0,0.0,0
5,3.605551275463989,16
5,3.605551275463989,15
4,3.1622776601683795,14
3,3.0,11
3,3.0,10
2,2.0,9
1,1.0,4
0,0.0,1
0,0.0,0
1,1.0,2
0,0.0,1
0,0.0,0
1,1.0,2
0,0.0,1
0,0.0,0
0,0.0,1
0,0.0,0
1,1.0,2
0,0.0,1
0,0.0,0
4,4.0,19
3,3.0,18
2,2.0,13
1,1.0,6
0,0.0,1
0,0.0,0
3,3.0,14
2,2.0,13
1,1.0,5
0,0.0,1
0,0.0,0
2,2.0,10
1,1.0,9
0,0.0,1
0,0.0,0
5,4.123105625617661,15
4,3.1622776601683795,14
3,2.23606797749979,11
2,1.4142135623730951,10
1,1.0,7
1,1.0,3
0,0.0,1
0,0.0,0
5,4.123105625617661,15
4,4.0,14
4,4.0,12
3,3.0,11
2,2.0,10
