Time,CPU %,Memory (MB)
1676396496.172381,12.911392405063292,2005
1676396497.1869106,19.25,1999
1676396498.208555,73.98989898989899,2011
1676396499.2386875,77.0,2026
1676396500.2732844,74.49494949494951,2038
1676396501.3026857,75.87939698492463,2024
1676396502.3239543,71.90721649484536,2017
1676396503.349752,76.13065326633166,2005
1676396504.370612,75.8974358974359,2000
1676396505.3834598,80.55555555555556,2014
1676396506.4026606,80.1526717557252,2014
1676396507.4218142,77.04081632653062,2010
1676396508.4291492,76.59033078880407,2006
1676396509.4585218,76.59033078880407,2016
1676396510.472893,74.3073047858942,2017
1676396511.4919682,76.21483375959079,2019
1676396512.5261931,74.55919395465995,2021
1676396513.5510867,77.5,2020
1676396514.5619457,76.07052896725442,2020
1676396515.5707026,72.41379310344827,2020
1676396516.5862045,77.6349614395887,2010
1676396517.6051724,71.9387755102041,2008
1676396518.63466,74.35897435897436,2011
1676396519.6610909,79.39698492462311,2013
1676396520.669913,79.09319899244332,2018
1676396521.697776,79.23076923076923,2005
1676396522.7141829,76.44110275689223,2008
1676396523.7278497,76.63316582914572,2014
1676396524.7537172,73.1266149870801,2025
1676396525.7794244,75.83547557840618,2025
1676396526.790138,76.48514851485149,2026
1676396527.803405,76.82291666666666,2018
1676396528.8167624,73.1457800511509,2016
1676396529.8310823,78.84130982367759,2025
1676396530.8491614,74.68671679197996,2022
1676396531.8668516,77.27272727272727,2025
1676396532.8873308,76.03092783505154,2025
1676396533.9060383,74.09326424870466,2013
1676396534.9233294,81.63265306122449,2016
1676396535.9434466,76.27551020408163,2016
1676396536.9564407,74.68354430379746,2018
1676396537.9684596,72.58883248730965,2023
1676396539.0058022,76.63316582914572,2025
1676396540.025142,75.0,2024
1676396541.0621247,74.93540051679585,2019
1676396542.077464,76.3681592039801,2013
1676396543.0973797,76.21483375959079,2017
1676396544.1257932,75.25252525252525,2014
1676396545.1524165,77.21518987341773,1998
1676396546.168493,77.04081632653062,1996
1676396547.190559,80.40712468193384,2017
1676396548.2131627,74.55012853470437,2015
1676396549.222031,77.17948717948718,2007
1676396550.262047,77.46113989637306,2004
1676396551.2858422,76.03911980440098,2010
1676396552.3251622,78.44611528822055,2017
1676396553.3428483,75.0,2019
1676396554.3521874,77.27272727272727,2018
1676396555.3804016,76.9028871391076,2031
1676396556.407897,75.25510204081633,2026
1676396557.4214313,78.75,2012
1676396558.438883,76.03092783505154,2008
1676396559.4504542,75.19788918205805,2014
1676396560.4815168,76.42487046632125,2008
1676396561.4906378,75.44303797468355,2007
1676396562.5023801,78.11704834605597,2031
1676396563.5300753,74.55919395465995,2031
1676396564.5404959,80.15075376884423,2031
1676396565.5561802,72.65625,2037
1676396566.574543,75.76530612244898,2026
1676396567.602008,72.37851662404093,2014
1676396568.6217303,77.66497461928934,2016
1676396569.6457868,77.66497461928934,2021
1676396570.6573622,71.64948453608247,2022
1676396571.6680658,76.51515151515152,2007
1676396572.6863232,76.07052896725442,2006
1676396573.7070215,74.43037974683544,2017
1676396574.72092,74.5635910224439,2014
1676396575.7545488,77.49360613810742,2023
1676396576.770432,75.44757033248082,2023
1676396577.8005786,76.98209718670077,2014
1676396578.8228576,74.80314960629921,2014
1676396579.8397179,79.23076923076923,1999
1676396580.8534517,77.37789203084833,2009
1676396581.862213,75.31806615776081,2008
1676396582.8839338,77.6349614395887,2023
1676396583.920111,75.0,2027
1676396584.9436388,80.94059405940595,2028
1676396585.9572475,76.11548556430446,2028
1676396586.9767392,77.66497461928934,2013
1676396588.0027108,79.69924812030075,2011
1676396589.0149813,76.04938271604938,2002
1676396590.032232,76.72634271099744,2006
1676396591.0482225,77.29591836734694,2000
1676396592.0679185,72.36180904522614,1997
1676396593.1117043,81.07416879795396,2012
1676396594.1407425,75.24752475247524,2014
1676396595.157876,75.44303797468355,2009
