Time,CPU %,Memory (MB)
1677513679.0036325,5.263157894736848,1756
1677513680.0120862,7.196029776674939,1769
1677513681.0182745,32.330827067669176,1782
1677513682.0388691,53.960396039603964,1794
1677513683.04755,57.393483709273184,1805
1677513684.0535517,51.842751842751845,1810
1677513685.068795,54.292929292929294,1816
1677513686.08961,50.99009900990099,1816
1677513687.099673,54.862842892768086,1798
1677513688.1101997,52.01005025125628,1802
1677513689.1235664,55.80246913580247,1798
1677513690.1331906,54.1147132169576,1819
1677513691.1444263,57.43073047858942,1816
1677513692.1577995,59.55334987593053,1804
1677513693.1850393,55.696202531645575,1802
1677513694.214341,47.79411764705882,1804
1677513695.2299323,56.29629629629629,1798
1677513696.2415388,50.12468827930174,1805
1677513697.2578583,59.5,1816
1677513698.271449,60.89108910891089,1811
1677513699.284194,49.0,1811
1677513700.2910016,50.25252525252526,1807
1677513701.3053086,47.63092269326683,1803
1677513702.3113003,57.07196029776676,1807
1677513703.3223827,50.872817955112225,1802
1677513704.3337712,50.49751243781094,1807
1677513705.3481324,55.33498759305211,1807
1677513706.3594754,53.20197044334976,1808
1677513707.3669202,57.64411027568923,1804
1677513708.3758821,55.1980198019802,1800
1677513709.3875725,52.75000000000001,1812
1677513710.392923,59.85037406483791,1797
1677513711.4050972,50.877192982456144,1809
1677513712.4129078,56.96517412935324,1810
1677513713.4296525,52.86783042394014,1798
1677513714.4502904,53.0,1800
1677513715.463799,53.960396039603964,1799
1677513716.474082,49.0,1800
1677513717.4833653,59.2964824120603,1795
1677513718.4967275,54.0,1796
1677513719.5081592,56.14035087719298,1805
1677513720.5373979,50.0,1792
1677513721.5510638,57.00245700245701,1803
1677513722.56046,48.994974874371856,1799
1677513723.5689547,52.63157894736843,1806
1677513724.5811834,54.91183879093199,1806
1677513725.588011,51.005025125628144,1799
1677513726.5996773,54.408060453400495,1816
1677513727.6173418,51.49253731343284,1822
1677513728.6302972,50.125313283208015,1811
1677513729.639808,56.32754342431762,1801
1677513730.647004,52.853598014888334,1797
1677513731.6528475,53.768844221105525,1803
1677513732.6589105,55.49999999999999,1805
1677513733.6887283,49.62406015037594,1800
1677513734.6973176,59.60591133004927,1803
1677513735.7026432,47.11779448621554,1802
1677513736.7160945,54.33673469387755,1794
1677513737.7260892,49.876543209876544,1806
1677513738.7413032,49.37655860349127,1803
1677513739.7512817,52.63157894736843,1808
1677513740.7657964,56.188118811881196,1789
1677513741.7832482,50.877192982456144,1783
1677513742.790113,55.365853658536594,1807
1677513743.81534,55.91939546599496,1806
1677513744.826053,46.68304668304668,1798
1677513745.8424718,52.130325814536334,1807
1677513746.850333,55.14705882352941,1807
1677513747.8591657,55.0251256281407,1790
1677513748.8669984,51.75000000000001,1794
1677513749.878234,50.24999999999999,1799
1677513750.887445,47.132169576059844,1803
1677513751.9022834,58.00000000000001,1805
1677513752.9135137,53.233830845771145,1800
1677513753.9240355,55.88972431077694,1804
1677513754.9451401,50.0,1805
1677513755.9516363,60.396039603960396,1792
1677513756.9616323,51.507537688442206,1791
1677513757.9698455,52.48756218905473,1792
1677513758.9782467,53.49999999999999,1802
1677513760.0044541,48.5,1807
1677513761.0114625,60.7843137254902,1804
1677513762.0189936,51.61290322580645,1811
1677513763.0348916,50.1240694789082,1819
1677513764.0465705,55.860349127182054,1814
1677513765.0641367,54.13533834586466,1814
1677513766.0793154,51.37844611528822,1820
