Time,CPU %,Memory (MB)
1677524190.7945073,14.720812182741117,2504
1677524191.824701,44.059405940594054,2521
1677524192.8342302,66.74816625916871,2529
1677524193.8578365,81.06060606060606,2531
1677524194.8754718,89.27680798004988,2536
1677524195.9045863,91.52119700748129,2540
1677524196.9314718,95.09803921568627,2537
1677524197.9418228,80.34825870646767,2550
1677524199.0118237,77.44360902255639,2554
1677524200.0660605,95.30516431924883,2559
1677524201.138163,94.97607655502392,2557
1677524202.2007473,99.76635514018692,2586
1677524203.2614636,99.52941176470588,2589
1677524204.3486543,99.76359338061465,2608
1677524205.4018533,99.77011494252874,2592
1677524206.4540546,99.76415094339622,2610
1677524207.500561,99.76133651551312,2623
1677524208.5578325,99.76019184652279,2613
1677524209.673698,99.76415094339622,2616
1677524210.7315526,100.0,2646
1677524211.8387108,100.0,2662
1677524212.9341729,99.77324263038548,2666
1677524214.009988,100.0,2655
1677524215.0684478,99.76689976689977,2676
1677524216.1563237,99.76580796252928,2681
1677524217.2724078,99.77011494252874,2685
1677524218.4024022,100.0,2694
1677524219.4648566,100.0,2709
1677524220.5509942,100.0,2720
1677524221.6969047,100.0,2714
1677524222.7385209,99.78118161925602,2720
1677524223.7629557,99.51573849878935,2744
1677524224.8468502,99.75728155339806,2745
1677524226.0082955,100.0,2767
1677524227.28619,100.0,2766
1677524228.3895993,100.0,2767
1677524229.475633,100.0,2784
1677524230.6323283,99.77064220183486,2787
1677524231.7204936,100.0,2802
1677524232.8733253,99.77426636568849,2807
1677524233.9734855,100.0,2808
1677524235.1338422,100.0,2815
1677524236.3129587,99.78448275862068,2820
1677524237.399579,100.0,2844
1677524238.572968,100.0,2834
1677524239.714504,100.0,2852
1677524240.830362,100.0,2856
1677524241.8928604,100.0,2858
1677524242.9589636,100.0,2855
1677524244.3506534,99.53051643192488,2881
1677524245.4388814,100.0,2885
1677524246.55123,100.0,2887
1677524247.858969,100.0,2902
1677524249.0592422,100.0,2903
1677524250.2342727,99.79381443298969,2906
1677524251.5138078,99.78632478632478,2916
1677524252.585713,99.80314960629921,2909
1677524253.839488,100.0,2924
1677524255.0635688,99.8003992015968,2918
1677524256.3405707,99.79508196721312,2927
1677524257.485978,100.0,2939
1677524258.7543426,99.56521739130434,2926
1677524259.777927,99.80276134122288,2937
1677524261.0585234,99.75550122249389,2926
1677524262.1761634,99.80506822612085,2918
1677524263.4102802,99.77578475336323,2914
1677524264.5577874,99.79757085020243,2923
1677524265.5953748,99.78260869565217,2912
1677524266.7942681,100.0,2923
1677524267.9459045,99.79123173277662,2927
1677524269.0257635,100.0,2941
1677524270.110966,100.0,2912
1677524271.2039325,100.0,2923
1677524272.4154906,99.54545454545455,2927
1677524273.6658607,100.0,2931
1677524274.8116047,100.0,2915
1677524275.9285026,100.0,2929
1677524277.014097,99.77678571428571,2930
1677524278.2675033,99.76958525345621,2918
1677524279.4156096,99.8,2923
1677524280.68762,99.79166666666667,2923
1677524281.9467554,100.0,2924
1677524282.9658687,99.8019801980198,2927
1677524284.2329888,99.50617283950616,2938
1677524285.319242,99.41176470588235,2932
1677524286.3692226,100.0,2924
1677524287.5988,99.75903614457832,2910
1677524288.715244,100.0,2939
1677524289.8830056,100.0,2919
1677524291.1939902,99.36034115138592,2914
1677524292.4979587,100.0,2921
1677524293.8078942,100.0,2935
1677524294.985967,99.80916030534351,2928
1677524296.1024504,99.78768577494692,2927
1677524297.3134143,99.77628635346755,2945
1677524298.5586433,99.79296066252587,2933
1677524299.638708,100.0,2926
1677524300.7037148,99.76415094339622,2935
1677524301.8129735,100.0,2912
1677524302.9443479,99.77728285077951,2913
1677524304.1042879,100.0,2917
1677524305.2053106,99.56989247311829,2914
1677524306.2843683,99.77220956719817,2945
1677524307.397127,100.0,2926
1677524308.5699978,99.54954954954955,2921
1677524309.935058,99.78632478632478,2926
1677524311.188055,100.0,2928
1677524312.205509,99.2,2930
1677524313.2745275,100.0,2941
1677524314.4326124,100.0,2932
1677524315.6753066,100.0,2923
1677524316.9213343,100.0,2930
1677524317.9899642,99.79919678714859,2928
1677524319.194351,100.0,2940
1677524320.5579402,99.8015873015873,2913
1677524321.6063197,100.0,2934
1677524322.8529239,100.0,2934
1677524324.088017,100.0,2915
1677524325.2433307,99.79959919839679,2952
1677524326.4376752,100.0,2928
1677524327.5105925,99.78991596638656,2947
1677524328.6944053,99.76689976689977,2943
1677524329.8249097,99.78858350951374,2950
1677524331.0298789,99.78021978021978,2926
1677524332.1773686,100.0,2925
1677524333.474011,99.78165938864629,2914
1677524334.5533884,100.0,2918
1677524335.746203,100.0,2932
1677524336.9005451,99.78991596638656,2927
1677524338.1826808,100.0,2944
1677524339.612552,100.0,2956
1677524340.8343642,100.0,2938
1677524341.953353,99.7946611909651,2932
1677524342.9844341,100.0,2932
1677524344.3429167,99.51573849878935,2930
1677524345.5233524,100.0,2933
1677524346.6760204,99.78991596638656,2935
1677524348.094402,99.78213507625271,2932
1677524349.3408566,99.82578397212544,2932
1677524350.4007063,100.0,2945
1677524351.4851627,99.76359338061465,2941
1677524352.679134,99.76905311778292,2924
1677524353.8029537,99.79035639412997,2927
1677524354.9255633,99.77827050997783,2936
1677524356.1642966,100.0,2936
1677524357.3339787,99.79797979797979,2936
1677524358.571939,100.0,2951
1677524359.6731641,99.79757085020243,2941
1677524360.8562486,100.0,2931
1677524361.9188597,100.0,2938
1677524363.2869248,99.76635514018692,2936
1677524364.6317317,100.0,2926
1677524365.9622512,99.81412639405205,2928
1677524367.0499222,100.0,2939
1677524368.3644118,100.0,2932
1677524369.5601995,100.0,2921
1677524370.7038205,100.0,2933
1677524371.8724346,100.0,2926
1677524373.2378554,99.57446808510639,2931
1677524374.301837,100.0,2947
1677524375.357964,100.0,2933
1677524376.4564645,100.0,2937
1677524377.5757096,100.0,2938
1677524378.7536125,100.0,2939
1677524379.9992507,100.0,2937
1677524381.0343432,99.800796812749,2932
1677524382.1360288,100.0,2946
1677524383.2517395,99.54648526077098,2950
1677524384.3561857,99.3212669683258,2940
1677524385.5580494,100.0,2925
1677524386.9229872,100.0,2951
1677524388.0599108,99.81718464351006,2932
1677524389.2058597,100.0,2925
1677524390.4573321,99.78308026030369,2938
1677524391.7083805,100.0,2946
1677524392.8098376,100.0,2940
1677524394.0424974,100.0,2929
1677524395.316919,99.79716024340772,2931
1677524396.4187248,100.0,2933
1677524397.6564188,100.0,2933
1677524398.7778285,100.0,2941
1677524400.028632,99.77678571428571,2958
1677524401.4438653,100.0,2946
1677524402.7830527,99.8220640569395,2948
1677524404.0141718,100.0,2949
1677524405.1753561,99.59677419354838,2928
1677524406.3470147,100.0,2947
1677524407.4027426,99.7867803837953,2926
1677524408.5681357,100.0,2937
1677524409.9105783,100.0,2940
1677524411.020898,100.0,2954
1677524412.242801,99.7752808988764,2947
1677524413.2978323,99.7946611909651,2947
1677524414.3526714,100.0,2950
1677524415.684811,100.0,2944
1677524416.737892,100.0,2939
1677524417.7841663,100.0,2948
1677524418.9498432,99.76076555023924,2956
1677524420.0960507,100.0,2960
1677524421.4012475,100.0,2941
1677524422.5293508,100.0,2943
1677524423.5373259,100.0,2947
1677524424.6178389,100.0,2940
1677524425.9102454,99.76905311778292,2938
1677524427.133344,100.0,2944
1677524428.255628,99.79591836734694,2950
1677524429.4099116,99.77728285077951,2938
