Time,CPU %,Memory (MB)
1677590861.7697406,22.842639593908633,1940
1677590862.7914448,46.63341645885287,1948
1677590863.7993557,53.333333333333336,1939
1677590864.8107862,53.015075376884425,1946
1677590865.8237357,61.460957178841305,1950
1677590866.8426187,58.1453634085213,1957
1677590867.8739507,56.93069306930694,1954
1677590868.8953986,87.1604938271605,1965
1677590869.92137,83.54114713216958,1960
1677590870.9362078,85.32338308457712,1960
1677590871.962699,85.92964824120604,1962
1677590872.9897757,84.53865336658353,1963
1677590874.0058706,88.39506172839506,1965
1677590875.0250542,91.0,1965
1677590876.0419917,93.0,1979
1677590877.0810466,92.51870324189527,1976
1677590878.0942347,91.11111111111111,1977
1677590879.1149447,92.71356783919597,1970
1677590880.1379504,93.5,1951
1677590881.158463,92.80397022332507,1964
1677590882.2261407,94.78908188585608,1978
1677590883.2373552,93.16037735849056,1979
1677590884.2722683,94.0,1973
1677590885.2841644,94.34889434889435,1980
1677590886.2984204,97.4937343358396,1985
1677590887.3286848,94.73684210526316,1986
1677590888.3492813,96.30541871921181,1990
1677590889.405561,94.55445544554455,1977
1677590890.4503114,94.68599033816425,1977
1677590891.5338492,95.39951573849879,1986
1677590892.5465372,96.03729603729604,1988
1677590893.6200724,94.51371571072319,1981
1677590894.6454027,96.94117647058823,1985
1677590895.6802983,96.79802955665025,1990
1677590896.7052968,96.11650485436894,1989
1677590897.7541137,96.54320987654322,1993
1677590898.7793694,96.3855421686747,1994
1677590899.850225,96.33251833740832,2009
1677590900.9145358,97.66355140186917,1994
1677590901.9591455,97.86729857819904,2000
1677590903.029204,97.57869249394673,1994
1677590904.077872,96.66666666666667,1996
1677590905.105721,95.44364508393285,1993
1677590906.1739776,96.31449631449631,2008
1677590907.2435527,94.11764705882352,2003
1677590908.2828312,97.43589743589743,2014
1677590909.3177147,97.81553398058253,2014
1677590910.3966641,98.54721549636804,1993
1677590911.4721704,96.96261682242991,2014
1677590912.5399847,97.43589743589743,2005
1677590913.6378508,96.89737470167064,2021
1677590914.6622884,97.48283752860412,2016
1677590915.7440703,97.77777777777777,2017
1677590916.8211932,97.68518518518519,2024
1677590917.8758163,96.74418604651163,2037
