Time,CPU %,Memory (MB)
1677591417.7877421,16.70886075949367,2140
1677591418.7998924,53.349875930521094,2156
1677591419.8168125,51.507537688442206,2159
1677591420.841995,74.18546365914787,2167
1677591421.8674512,85.18518518518519,2157
1677591422.8944502,87.93103448275862,2168
1677591423.924931,90.9090909090909,2178
1677591424.9461217,93.59605911330048,2176
1677591425.9807162,94.5,2173
1677591427.00427,94.5945945945946,2180
1677591428.0278246,96.56862745098039,2193
1677591429.0392187,95.53349875930522,2200
1677591430.1031,97.77227722772277,2196
1677591431.1607227,95.49763033175356,2199
1677591432.2300527,97.38095238095238,2197
1677591433.2738502,98.36448598130842,2202
1677591434.3110478,95.88377723970945,2196
1677591435.3412645,98.7864077669903,2218
1677591436.3707433,98.8009592326139,2210
1677591437.4024408,98.01980198019803,2215
1677591438.4769375,97.5609756097561,2230
1677591439.5277045,98.13084112149532,2235
1677591440.5796504,98.3173076923077,2221
1677591441.6562428,98.08612440191388,2225
1677591442.683017,98.3529411764706,2232
1677591443.7837327,97.31051344743277,2231
1677591444.8310676,98.86104783599089,2237
1677591445.8694937,98.5576923076923,2252
1677591446.9504879,98.79227053140096,2259
1677591447.9940925,96.49532710280374,2262
1677591449.0745592,97.59036144578313,2245
1677591450.099322,99.06976744186046,2247
1677591451.1529229,98.28009828009829,2249
1677591452.1861362,99.28909952606635,2256
1677591453.2223566,99.26829268292683,2276
1677591454.2969725,99.03381642512076,2274
1677591455.4406505,98.13519813519814,2276
1677591456.4943771,99.34640522875817,2271
1677591457.5624416,99.04988123515439,2287
1677591458.67206,98.34905660377359,2282
1677591459.7871883,99.09502262443439,2282
1677591460.8913245,99.5505617977528,2299
1677591461.9951897,99.09297052154194,2302
1677591463.0578678,98.63636363636363,2289
1677591464.117044,99.52941176470588,2296
1677591465.1718092,99.29245283018868,2306
1677591466.2237396,98.32535885167464,2301
1677591467.2848656,99.29078014184397,2303
1677591468.4146473,99.05437352245863,2325
1677591469.523162,99.33628318584071,2337
1677591470.6040695,98.21428571428571,2335
1677591471.6308172,99.76580796252928,2335
1677591472.697939,98.29268292682927,2332
