Time,Memory (MB)
1677590922.0399835,2013
1677590923.0947864,2003
1677590924.186016,2006
1677590925.258659,2025
1677590926.3455675,2023
1677590927.3793097,2028
1677590928.4082716,2021
1677590929.461473,2024
1677590930.5179746,2030
1677590931.554803,2030
1677590932.6172369,2032
1677590933.699653,2030
1677590934.7313106,2029
1677590935.7685394,2021
1677590936.8386602,2021
1677590937.8879807,2036
1677590938.9520075,2026
1677590940.0156713,2027
1677590941.0741699,2015
1677590942.1258104,2005
1677590943.155565,2007
1677590944.1970108,2014
1677590945.2574408,2026
1677590946.308102,2020
1677590947.3553953,2023
1677590948.4027886,2013
1677590949.4841847,2036
1677590950.547066,2033
1677590951.6414747,2026
1677590952.697828,2030
1677590953.707101,2018
1677590954.7633874,2028
1677590955.8367033,2025
1677590956.8779361,2030
1677590957.9083812,2032
1677590958.9312956,2020
1677590959.9659624,2020
1677590961.0098474,2040
1677590962.048178,2030
1677590963.0872822,2030
1677590964.135678,2028
1677590965.2115407,2025
1677590966.2610853,2023
1677590967.2899945,2020
1677590968.3650844,2015
1677590969.4080598,2016
1677590970.4413557,2019
1677590971.4847913,2035
1677590972.518538,2028
1677590973.594091,2037
1677590974.646859,2020
1677590975.708906,2017
1677590976.7912161,2019
1677590977.8398674,2030
1677590978.8779087,2026
1677590979.9197822,2024
1677590980.9540606,2016
1677590981.9943671,2020
1677590983.069792,2012
1677590984.107425,2026
1677590985.149815,2027
1677590986.166896,2021
1677590987.1942601,2016
1677590988.2354834,2028
1677590989.267517,2027
1677590990.3494687,2025
1677590991.3737504,2024
1677590992.4751194,2022
1677590993.5322394,2036
1677590994.554706,2037
1677590995.6029289,2038
1677590996.6294847,2014
1677590997.653144,2018
1677590998.6932688,2029
1677590999.76199,2032
1677591000.8420737,2033
1677591001.8945346,2031
1677591002.929005,2008
1677591003.9878836,2027
1677591005.0618403,2019
1677591006.105605,2022
1677591007.1512725,2024
1677591008.1969202,2021
1677591009.2506335,2023
1677591010.281852,2019
1677591011.2938294,2027
1677591012.3637414,2019
1677591013.431088,2013
1677591014.482279,2018
1677591015.4983308,2022
1677591016.598564,2006
1677591017.6522245,2011
1677591018.703873,2018
1677591019.7219946,2030
1677591020.8002365,2029
1677591021.865853,2031
1677591022.8983903,2037
1677591023.943747,2028
1677591025.0063107,2026
1677591026.0717964,2035
1677591027.140277,2021
1677591028.1758769,2005
1677591029.192369,2014
1677591030.220617,2018
1677591031.2285502,2025
1677591032.2827442,2025
1677591033.371529,2028
1677591034.393835,2021
1677591035.4420228,2015
1677591036.486704,2026
1677591037.5775495,2041
1677591038.6238844,2023
1677591039.661196,2025
1677591040.7058096,2019
