Time,Memory (MB)
1676593660.3457756,1455
1676593661.3519614,1456
1676593662.3586473,1460
1676593663.3661747,1460
1676593664.372894,1459
1676593665.378586,1460
1676593666.386433,1453
1676593667.3931305,1455
1676593668.4028513,1456
1676593669.4090497,1454
1676593670.4141436,1453
1676593671.421318,1463
1676593672.4284337,1463
1676593673.4384103,1460
1676593674.4442375,1452
1676593675.4523253,1457
1676593676.4584594,1459
1676593677.4699626,1460
1676593678.4775212,1446
1676593679.4855492,1448
1676593680.4919405,1448
1676593681.4994295,1448
1676593682.507291,1438
1676593683.5137706,1440
1676593684.5186973,1439
1676593685.5236197,1441
1676593686.529677,1447
1676593687.5352895,1450
1676593688.541392,1452
1676593689.5479817,1459
1676593690.5540032,1462
1676593691.5590823,1466
1676593692.5658286,1468
1676593693.5715601,1459
1676593694.5786753,1461
1676593695.5981455,1444
1676593696.6043565,1446
1676593697.6115878,1448
1676593698.618223,1460
1676593699.6236372,1460
1676593700.6300511,1461
1676593701.6381156,1461
1676593702.644356,1451
1676593703.6516802,1453
1676593704.66371,1456
1676593705.6691768,1461
1676593706.674118,1461
1676593707.6787977,1465
1676593708.6883914,1467
1676593709.6951754,1457
1676593710.7007122,1459
1676593711.707665,1464
1676593712.7135742,1464
1676593713.7205894,1474
1676593714.7279127,1473
1676593715.7359712,1473
1676593716.74206,1468
1676593717.7510152,1469
1676593718.758228,1454
1676593719.7661443,1456
1676593720.771615,1457
1676593721.7781377,1458
1676593722.7882173,1461
1676593723.7940838,1463
1676593724.8013573,1464
1676593725.8060708,1457
1676593726.8116534,1458
1676593727.8198023,1463
1676593728.8265994,1465
1676593729.8327801,1465
1676593730.838343,1468
1676593731.8606887,1451
1676593732.868418,1454
1676593733.8741066,1454
1676593734.8826375,1449
1676593735.889091,1449
1676593736.8961036,1455
1676593737.9026952,1456
1676593738.910186,1457
1676593739.918168,1460
1676593740.9270558,1466
1676593741.9334335,1467
1676593742.9495559,1462
1676593743.9548867,1466
1676593744.9637413,1469
1676593745.9701457,1471
1676593746.9781806,1473
1676593747.9859288,1474
1676593748.9932933,1474
1676593750.000793,1471
1676593751.0083323,1472
1676593752.0164313,1454
1676593753.023445,1455
1676593754.02918,1456
1676593755.0347223,1461
1676593756.0418158,1461
1676593757.0460107,1457
1676593758.0536036,1459
1676593759.0584736,1455
1676593760.066258,1456
1676593761.074765,1456
1676593762.080934,1457
1676593763.0863588,1457
1676593764.0963926,1446
1676593765.102005,1450
1676593766.1081314,1459
1676593767.114624,1460
1676593768.1233697,1454
1676593769.1298218,1456
1676593770.135437,1457
1676593771.1429293,1460
1676593772.1514504,1460
1676593773.1575043,1467
1676593774.1624556,1467
1676593775.1686678,1452
1676593776.1762505,1455
1676593777.1840503,1462
1676593778.19235,1462
1676593779.1995544,1454
1676593780.2062888,1456
1676593781.2156181,1459
1676593782.2223601,1458
1676593783.227942,1458
1676593784.2333755,1461
1676593785.2409523,1461
1676593786.2461703,1462
1676593787.2521882,1455
1676593788.258907,1457
