Time,Memory (MB)
1676327602.6790922,2160
1676327603.6880481,2165
1676327604.7092931,2165
1676327605.7187643,2160
1676327606.7312553,2160
1676327607.7382143,2163
1676327608.7447608,2162
1676327609.7660286,2175
1676327610.7731397,2167
1676327611.78121,2165
1676327612.7891796,2172
1676327613.7964783,2170
1676327614.811251,2151
1676327615.8267827,2150
1676327616.8332424,2162
1676327617.8434172,2165
1676327618.8575976,2170
1676327619.8649406,2169
1676327620.8708172,2172
1676327621.877982,2171
1676327622.8872652,2168
1676327623.903346,2167
1676327624.9109735,2163
1676327625.9178894,2164
1676327626.927112,2172
1676327627.9360898,2165
1676327628.9430976,2164
1676327629.9500926,2171
1676327630.958713,2170
1676327631.9695034,2175
1676327632.9794369,2174
1676327633.990206,2182
1676327634.9977906,2179
1676327636.0047429,2165
1676327637.0091932,2159
1676327638.0355625,2158
1676327639.057016,2150
1676327640.0637932,2162
1676327641.074398,2172
1676327642.0872238,2170
1676327643.0965247,2170
1676327644.1081462,2170
1676327645.1162765,2184
1676327646.1278393,2182
1676327647.1372116,2179
1676327648.1566775,2178
1676327649.1971772,2178
1676327650.20629,2176
1676327651.214993,2182
1676327652.2250023,2179
1676327653.2337399,2179
1676327654.241683,2177
1676327655.2594454,2176
1676327656.2689843,2176
1676327657.2905889,2176
1676327658.3065379,2167
1676327659.3144474,2169
1676327660.3230484,2174
1676327661.3337405,2179
1676327662.3440504,2171
1676327663.3538828,2169
1676327664.3685102,2169
1676327665.3772306,2169
1676327666.385546,2169
1676327667.3919733,2171
1676327668.398819,2169
1676327669.4094453,2171
1676327670.4171257,2170
1676327671.4282515,2169
1676327672.4337866,2166
1676327673.4439573,2173
1676327674.449917,2168
1676327675.4560263,2172
1676327676.4677222,2166
1676327677.474442,2174
1676327678.4857068,2161
1676327679.5072153,2169
1676327680.515963,2170
1676327681.522516,2175
1676327682.5537217,2186
1676327683.5649996,2191
1676327684.5723264,2173
1676327685.5828743,2173
1676327686.591251,2175
1676327687.5996583,2173
1676327688.6108348,2175
1676327689.6206892,2173
1676327690.626967,2175
1676327691.6339262,2168
1676327692.6425366,2175
1676327693.6610615,2171
1676327694.6693158,2168
1676327695.676622,2165
1676327696.6961064,2172
1676327697.7057378,2177
1676327698.7129216,2164
1676327699.7185006,2165
1676327700.7267194,2164
1676327701.734529,2176
1676327702.7392845,2174
1676327703.7475295,2183
1676327704.754744,2181
1676327705.763517,2180
1676327706.7695587,2177
1676327707.7821703,2170
1676327708.7883935,2170
1676327709.7970264,2177
1676327710.8103,2169
1676327711.8184254,2182
1676327712.8262212,2178
1676327713.8347957,2182
1676327714.8457556,2174
1676327715.8550067,2172
1676327716.876605,2181
1676327717.8833032,2181
1676327718.8929765,2193
1676327719.8997865,2191
1676327720.908057,2178
1676327721.9166286,2177
1676327722.938378,2177
1676327723.9453552,2167
1676327724.951782,2167
1676327725.9790545,2181
1676327726.9861255,2179
1676327727.9947627,2183
1676327729.0047252,2179
1676327730.0157027,2188
