Time,Memory (MB)
1677593220.1967418,2939
1677593221.2779262,2934
1677593222.475536,2929
1677593223.5666187,2949
1677593224.81497,2952
1677593225.9165514,2949
1677593227.2185228,2963
1677593228.4217598,2965
1677593229.4294646,2955
1677593230.5338707,2952
1677593231.6627333,2968
1677593232.953943,2960
1677593234.1817465,2959
1677593235.2163124,2969
1677593236.342652,2957
1677593237.3605578,2951
1677593238.7554343,2965
1677593240.0534024,2955
1677593241.2465394,2943
1677593242.3170235,2967
1677593243.5823166,2952
1677593244.9195502,2937
1677593245.9731476,2945
1677593247.284732,2933
1677593248.4072514,2936
1677593249.5959294,2931
1677593250.7712715,2946
1677593252.022064,2962
1677593253.2115092,2939
1677593254.4653816,2972
1677593255.559072,2944
1677593256.719859,2957
1677593257.7826428,2966
1677593258.8988805,2962
1677593260.0637958,2955
1677593261.1400917,2956
1677593262.2530582,2964
1677593263.3389294,2953
1677593264.4164486,2949
1677593265.6612625,2955
1677593266.7074704,2970
1677593267.7801404,2949
1677593268.9790149,2952
1677593270.1730795,2970
1677593271.5085201,2948
1677593272.6259215,2958
1677593273.7222426,2957
1677593274.8075538,2962
1677593275.8853095,2960
1677593277.0820308,2958
1677593278.186809,2948
1677593279.3978398,2965
1677593280.4698231,2969
1677593281.8150818,2963
1677593282.851171,2973
1677593283.933219,2979
1677593284.9859576,2981
1677593286.0993607,2959
1677593287.3805768,2968
1677593288.4898179,2944
1677593289.827428,2955
1677593291.1196725,2961
1677593292.1346457,2951
1677593293.1745634,2952
1677593294.2732906,2967
1677593295.5489743,2980
1677593296.7993708,2958
1677593297.877129,2973
1677593299.0372417,2960
1677593300.3237367,2961
1677593301.5795588,2947
1677593302.77421,2975
1677593303.9337301,2954
1677593305.0620923,2967
1677593306.3592842,2973
1677593307.4192617,2963
1677593308.4798477,2965
1677593309.639879,2965
1677593310.8168387,2965
1677593311.978276,2965
1677593313.188179,2964
1677593314.2412474,2954
1677593315.414251,2976
1677593316.6813087,2948
1677593317.735186,2964
1677593318.8143346,2968
1677593320.086297,2972
1677593321.2301266,2972
1677593322.4124265,2959
1677593323.6009352,2966
1677593324.6214788,2962
1677593325.713969,2961
1677593326.8213284,2974
1677593327.846666,2962
1677593328.9485927,2960
1677593330.0637488,2963
1677593331.31298,2959
1677593332.4951634,2953
1677593333.7028053,2960
1677593334.8093133,2968
1677593336.0921807,2972
1677593337.323209,2978
1677593338.564033,2976
