Time,Memory (MB)
1677592205.0421407,2395
1677592206.2237635,2403
1677592207.2885919,2398
1677592208.4076269,2389
1677592209.4895205,2387
1677592210.5539744,2403
1677592211.5778651,2396
1677592212.6278946,2402
1677592213.7012613,2406
1677592214.7864003,2396
1677592215.8987057,2401
1677592216.9290903,2409
1677592218.0250773,2414
1677592219.0777192,2396
1677592220.2707,2398
1677592221.2976115,2405
1677592222.3831635,2401
1677592223.4748592,2409
1677592224.5437164,2406
1677592225.626967,2408
1677592226.7083511,2413
1677592227.8375063,2406
1677592228.9179773,2408
1677592229.993869,2403
1677592231.0476644,2407
1677592232.1658695,2398
1677592233.294768,2398
1677592234.4131746,2405
1677592235.544256,2399
1677592236.6746817,2408
1677592237.697465,2406
1677592238.9378614,2409
1677592240.0352218,2406
1677592241.1230328,2412
1677592242.2230232,2414
1677592243.4338443,2407
1677592244.5300994,2414
1677592245.6499214,2407
1677592246.732098,2409
1677592247.8020513,2404
1677592248.8665764,2407
1677592249.9708667,2395
1677592251.0819392,2397
1677592252.1190996,2401
1677592253.2180524,2398
1677592254.3161802,2392
1677592255.4037514,2407
1677592256.48654,2401
1677592257.5107863,2413
1677592258.6155376,2404
1677592259.6688251,2399
1677592260.7278802,2405
1677592261.821825,2401
1677592262.923551,2401
1677592264.0166488,2392
1677592265.0243912,2398
1677592266.058365,2401
1677592267.1061177,2401
1677592268.1722717,2404
1677592269.2863343,2397
1677592270.3542948,2399
1677592271.505918,2405
1677592272.6018417,2401
1677592273.6519012,2405
1677592274.698976,2406
1677592275.7610178,2407
1677592276.8332195,2411
1677592277.8979247,2397
1677592278.967403,2401
1677592280.0076675,2400
1677592281.073877,2403
1677592282.1237,2402
1677592283.181932,2388
1677592284.3036976,2398
1677592285.5036025,2397
1677592286.5753994,2405
1677592287.6418693,2404
1677592288.702597,2412
1677592289.7819574,2415
1677592290.861751,2410
1677592291.9664118,2398
1677592293.0299773,2398
1677592294.198407,2406
1677592295.2440958,2406
1677592296.394457,2407
1677592297.465291,2405
1677592298.5359075,2403
1677592299.6019933,2414
1677592300.6531017,2416
1677592301.8035223,2408
1677592302.8349187,2392
1677592303.8824313,2396
1677592305.129567,2398
1677592306.2847164,2416
1677592307.3217914,2412
1677592308.3785183,2412
1677592309.437924,2413
1677592310.5258627,2418
1677592311.6868284,2418
1677592312.7945285,2409
1677592313.9280632,2414
1677592314.988658,2412
1677592316.1058736,2420
1677592317.1339605,2409
1677592318.2052228,2413
1677592319.2941113,2399
1677592320.3552175,2411
1677592321.4024353,2406
1677592322.5253475,2410
1677592323.5866878,2415
